P_ID,PName,Category,Specs1,Price
PD_21000081,Source,Home Appliance,among,194.28
PD_21000082,Fill,Electronics,rich,125.56
PD_21000083,Wide,Fashion,anything,35.78
PD_21000084,Ago,Books,interview,433.91
PD_21000085,Risk,Fashion,structure,32.6
PD_21000086,Water,Fitness,low,385.6
PD_21000087,My,Electronics,like,295.87
PD_21000088,Billion,Electronics,skin,122.58
PD_21000089,Watch,Home Appliance,rule,89.83
PD_21000090,North,Fashion,stage,93.15
PD_21000091,Research,Electronics,wait,48.39
PD_21000092,Physical,Home Appliance,especially,191.87
PD_21000093,Recently,Fitness,role,290.51
PD_21000094,Important,Home Appliance,understand,225.89
PD_21000095,Mr,Electronics,card,398.83
PD_21000096,Long,Home Appliance,away,98.16
PD_21000097,,Fashion,week,476.68
PD_21000098,Teach,Books,large,215.64
PD_21000099,Section,Fashion,somebody,421.07
PD_21000100,Board,Home Appliance,million,440.97
PD_21000101,Evidence,Books,hospital,283.29
PD_21000102,Quickly,Fashion,city,199.8
PD_21000103,Product,Fitness,present,160.08
PD_21000104,Memory,Electronics,Republican,217.98
PD_21000105,Direction,Home Appliance,authority,234.31
PD_21000106,Serious,Fitness,dream,364.62
PD_21000107,Standard,Electronics,material,419.49
PD_21000108,Player,Fitness,describe,420.59
PD_21000109,Toward,Books,catch,253.57
PD_21000110,Take,Fashion,clear,351.51
PD_21000111,Court,Fitness,trouble,67.51
PD_21000112,Continue,Home Appliance,finally,291.59
PD_21000113,Truth,Electronics,television,463.26
PD_21000114,Far,Home Appliance,year,354.2
PD_21000115,Receive,Fitness,affect,378.57
PD_21000116,Your,Fashion,lawyer,280.66
PD_21000117,Just,Home Appliance,wife,496.96
PD_21000118,Present,Books,deep,161.0
PD_21000119,Ahead,Fitness,career,455.36
PD_21000120,Study,Electronics,serve,375.2
PD_21000121,Painting,Electronics,form,42.44
PD_21000122,His,Home Appliance,tough,296.8
PD_21000123,Or,Books,past,81.44
PD_21000124,Bill,Fashion,yourself,233.95
PD_21000125,Especially,Fitness,president,247.89
PD_21000126,Media,Home Appliance,huge,484.47
PD_21000127,Party,Electronics,something,411.69
PD_21000128,Shake,Books,notice,224.06
PD_21000129,Since,Home Appliance,officer,387.95
PD_21000130,Treat,Fitness,morning,186.06
PD_21000131,Pay,Books,second,77.21
PD_21000132,Provide,Fitness,author,272.72
PD_21000133,Stuff,Electronics,Congress,342.93
PD_21000134,Sea,Books,past,140.98
PD_21000135,Left,Books,recently,147.12
PD_21000136,Gas,Fashion,lose,69.58
PD_21000137,Ball,Fitness,would,140.56
PD_21000138,Research,Fashion,forward,448.4
PD_21000139,Speech,Home Appliance,computer,90.85
PD_21000140,Prevent,Books,long,224.37
PD_21000141,Wait,Home Appliance,see,430.35
PD_21000142,Bag,Home Appliance,for,233.19
PD_21000143,Soon,Home Appliance,half,200.07
PD_21000144,Could,Home Appliance,game,151.53
PD_21000145,Democrat,Books,program,132.1
PD_21000146,Organization,Fitness,allow,382.02
PD_21000147,Poor,Home Appliance,best,464.97
PD_21000148,Common,Electronics,government,75.19
PD_21000149,List,Electronics,machine,197.27
PD_21000150,Explain,Fashion,myself,94.6
PD_21000151,Get,Home Appliance,strong,436.61
PD_21000152,With,Fashion,per,318.07
PD_21000153,Service,Electronics,wall,434.79
PD_21000154,Strong,Home Appliance,produce,26.56
PD_21000155,You,Fitness,economy,39.67
PD_21000156,Relationship,Books,past,341.95
PD_21000157,Gas,Home Appliance,many,113.42
PD_21000158,Decade,Home Appliance,attorney,417.54
PD_21000159,Around,Books,most,352.9
PD_21000160,Television,Books,above,21.0
PD_21000161,Ground,Fashion,husband,10.34
PD_21000162,Necessary,Fashion,back,11.47
PD_21000163,Else,Fashion,certain,358.21
PD_21000164,Avoid,Books,east,221.81
PD_21000165,Play,Fashion,own,226.53
PD_21000166,Father,Books,science,236.88
PD_21000167,Model,Electronics,social,30.34
PD_21000168,Together,Home Appliance,early,310.5
PD_21000169,Similar,Fitness,nor,435.36
PD_21000170,Four,Home Appliance,example,49.46
PD_21000171,How,Fashion,study,161.75
PD_21000172,Strategy,Electronics,evening,493.52
PD_21000173,War,Fashion,technology,275.52
PD_21000174,Democratic,Books,guy,361.54
PD_21000175,Capital,Electronics,these,460.12
PD_21000176,Life,Electronics,ask,176.03
PD_21000177,Occur,Books,executive,80.25
PD_21000178,Visit,Home Appliance,floor,394.35
PD_21000179,Impact,Fashion,inside,102.56
PD_21000180,Cultural,Books,simply,83.42
PD_21000181,Simple,Home Appliance,get,143.03
PD_21000182,Line,Electronics,news,492.56
PD_21000183,Behind,Electronics,food,465.87
PD_21000184,Rate,Fitness,just,377.86
PD_21000185,History,Fashion,most,53.22
PD_21000186,Cover,Home Appliance,very,321.77
PD_21000187,May,Books,rate,326.77
PD_21000188,Thousand,Home Appliance,peace,70.22
PD_21000189,Specific,Electronics,look,32.67
PD_21000190,Very,Books,no,149.83
PD_21000191,Read,Fitness,glass,157.23
PD_21000192,Dream,Home Appliance,treat,119.67
PD_21000193,To,Books,live,50.18
PD_21000194,Success,Fitness,about,461.02
PD_21000195,Concern,Electronics,beyond,32.46
PD_21000196,Matter,Electronics,under,82.51
PD_21000197,Exist,Home Appliance,process,76.88
PD_21000198,Develop,Electronics,create,493.66
PD_21000199,Lawyer,Fitness,we,332.64
PD_21000200,Huge,Electronics,cell,419.86
PD_21000201,Care,Electronics,I,361.98
PD_21000202,Tax,Fashion,wall,79.75
PD_21000203,Opportunity,Home Appliance,benefit,221.97
PD_21000204,Water,Fitness,increase,453.14
PD_21000205,Attack,Books,sell,343.88
PD_21000206,Nature,Fitness,modern,124.75
PD_21000207,Care,Books,effect,33.48
PD_21000208,Bring,Books,region,129.0
PD_21000209,Fish,Fitness,Democrat,172.76
PD_21000210,Guy,Home Appliance,blue,62.55
PD_21000211,History,Electronics,might,481.58
PD_21000212,Participant,Fashion,agency,299.75
PD_21000213,Cold,Home Appliance,myself,230.22
PD_21000214,Them,Fitness,person,86.53
PD_21000215,Car,Home Appliance,song,357.26
PD_21000216,Necessary,Books,sense,139.31
PD_21000217,Standard,Electronics,time,116.82
PD_21000218,Both,Fitness,address,273.78
PD_21000219,Husband,Home Appliance,no,194.92
PD_21000220,Industry,Home Appliance,hotel,197.19
PD_21000221,All,Books,decade,10.97
PD_21000222,Gas,Books,night,21.09
PD_21000223,Effort,Books,keep,379.21
PD_21000224,Type,Fitness,test,138.09
PD_21000225,Answer,Electronics,pattern,313.94
PD_21000226,Upon,Fashion,woman,266.09
PD_21000227,Picture,Home Appliance,future,354.14
PD_21000228,Two,Home Appliance,provide,298.45
PD_21000229,Practice,Home Appliance,discussion,183.16
PD_21000230,Many,Electronics,husband,272.3
PD_21000231,Out,Fashion,perform,416.27
PD_21000232,Pattern,Fashion,manage,339.67
PD_21000233,Resource,Books,per,93.08
PD_21000234,They,Books,prevent,272.98
PD_21000235,Voice,Books,you,64.6
PD_21000236,Explain,Fitness,method,186.28
PD_21000237,Dream,Fashion,believe,81.86
PD_21000238,Check,Books,century,228.58
PD_21000239,Story,Fitness,rule,149.89
PD_21000240,Include,Fashion,go,37.47
PD_21000241,Suddenly,Fitness,any,278.17
PD_21000242,Already,Electronics,eye,274.53
PD_21000243,Security,Fashion,study,307.29
PD_21000244,Cell,Fitness,by,452.66
PD_21000245,Stock,Fitness,fund,369.6
PD_21000246,Management,Books,their,135.39
PD_21000247,Apply,Fitness,various,23.83
PD_21000248,Not,Books,defense,424.11
PD_21000249,No,Home Appliance,anyone,470.52
PD_21000250,Movie,Fitness,ask,356.65
PD_21000251,Must,Fitness,stuff,150.79
PD_21000252,System,Books,age,236.37
PD_21000253,Down,Home Appliance,take,236.88
PD_21000254,As,Books,time,297.42
PD_21000255,Weight,Fitness,join,177.41
PD_21000256,Music,Electronics,dinner,129.91
PD_21000257,Take,Home Appliance,teach,348.23
PD_21000258,Worker,Electronics,once,42.71
PD_21000259,Subject,Fitness,the,221.47
PD_21000260,With,Electronics,matter,393.31
PD_21000261,Soldier,Fitness,read,271.38
PD_21000262,Fall,Home Appliance,item,494.15
PD_21000263,Building,Electronics,effort,83.54
PD_21000264,Water,Books,on,180.41
PD_21000265,Professor,Home Appliance,quality,412.97
PD_21000266,Federal,Home Appliance,machine,45.63
PD_21000267,Sister,Home Appliance,mean,220.1
PD_21000268,Occur,Fashion,station,289.67
PD_21000269,Whatever,Home Appliance,alone,324.34
PD_21000270,The,Electronics,glass,236.66
PD_21000271,Return,Fitness,somebody,379.25
PD_21000272,Give,Fitness,food,196.57
PD_21000273,Act,Home Appliance,middle,190.9
PD_21000274,Police,Fashion,that,170.58
PD_21000275,Likely,Fitness,always,40.18
PD_21000276,Food,Electronics,field,381.29
PD_21000277,People,Fashion,government,262.71
PD_21000278,Sell,Home Appliance,war,185.12
PD_21000279,Have,Electronics,hundred,316.73
PD_21000280,Mention,Electronics,attack,158.6
PD_21000281,Black,Home Appliance,parent,479.48
PD_21000282,Argue,Home Appliance,hot,357.29
PD_21000283,Event,Electronics,answer,350.96
PD_21000284,Rate,Fashion,school,224.3
PD_21000285,Fine,Fashion,condition,317.22
PD_21000286,During,Electronics,support,208.62
PD_21000287,Eye,Fitness,PM,325.11
PD_21000288,Pull,Electronics,risk,342.1
PD_21000289,Investment,Fitness,civil,466.59
PD_21000290,Range,Books,plan,261.95
PD_21000291,Improve,Home Appliance,until,308.14
PD_21000292,Particularly,Home Appliance,write,19.29
PD_21000293,Near,Books,here,257.61
PD_21000294,Him,Electronics,city,185.52
PD_21000295,Of,Books,scientist,471.38
PD_21000296,Feel,Books,kitchen,308.6
PD_21000297,Result,Fashion,white,324.86
PD_21000298,Defense,Home Appliance,could,221.4
PD_21000299,Main,Fitness,expect,31.2
PD_21000300,Owner,Electronics,center,97.71
PD_21000301,Stay,Books,factor,473.82
PD_21000302,Born,Fashion,would,478.28
PD_21000303,Whose,Electronics,human,182.24
PD_21000304,From,Books,how,421.9
PD_21000305,Open,Fashion,what,129.97
PD_21000306,Wait,Fashion,research,368.07
PD_21000307,Them,Fitness,mean,40.0
PD_21000308,Your,Fashion,rule,434.97
PD_21000309,You,Home Appliance,win,101.69
PD_21000310,News,Books,alone,90.92
PD_21000311,Pm,Electronics,political,167.41
PD_21000312,Charge,Electronics,there,163.59
PD_21000313,Leave,Fashion,leave,482.11
PD_21000314,Work,Books,spend,165.75
PD_21000315,Near,Fashion,before,148.82
PD_21000316,Because,Electronics,speech,121.78
PD_21000317,Shake,Electronics,our,224.11
PD_21000318,Order,Books,citizen,96.45
PD_21000319,Fill,Electronics,authority,45.42
PD_21000320,Mission,Books,born,100.16
PD_21000321,Whether,Electronics,draw,372.87
PD_21000322,Front,Home Appliance,suffer,496.72
PD_21000323,Final,Fitness,mother,51.05
PD_21000324,Only,Fashion,share,103.37
PD_21000325,Again,Fitness,just,457.61
PD_21000326,Meet,Books,road,174.1
PD_21000327,Him,Books,city,405.89
PD_21000328,Price,Home Appliance,quality,343.63
PD_21000329,Mention,Fashion,occur,129.49
PD_21000330,Say,Home Appliance,Democrat,492.05
PD_21000331,Occur,Books,usually,54.1
PD_21000332,Nearly,Books,successful,167.8
PD_21000333,Treatment,Fitness,consumer,259.36
PD_21000334,Community,Fashion,reduce,105.34
PD_21000335,Say,Home Appliance,road,289.95
PD_21000336,Cell,Books,find,91.54
PD_21000337,Under,Electronics,station,15.32
PD_21000338,Production,Electronics,daughter,147.12
PD_21000339,History,Fitness,husband,48.17
PD_21000340,Special,Electronics,final,143.36
PD_21000341,Purpose,Fitness,unit,218.26
PD_21000342,Research,Electronics,maintain,226.81
PD_21000343,Anything,Fitness,tend,419.24
PD_21000344,Develop,Fashion,ten,113.27
PD_21000345,Doctor,Books,material,250.3
PD_21000346,Knowledge,Books,determine,129.68
PD_21000347,Possible,Fitness,enough,303.71
PD_21000348,Question,Electronics,will,484.43
PD_21000349,Manager,Home Appliance,artist,65.58
PD_21000350,Born,Fashion,arrive,258.68
PD_21000351,Establish,Electronics,music,486.48
PD_21000352,Threat,Fashion,town,120.19
PD_21000353,Suggest,Fashion,important,107.46
PD_21000354,Individual,Books,word,225.75
PD_21000355,Do,Electronics,none,377.69
PD_21000356,Support,Electronics,turn,79.21
PD_21000357,Tree,Fashion,could,149.15
PD_21000358,May,Fitness,everything,319.41
PD_21000359,Wait,Home Appliance,effect,447.05
PD_21000360,Like,Electronics,than,257.08
PD_21000361,Author,Books,range,351.6
PD_21000362,Almost,Fashion,away,31.44
PD_21000363,Bag,Books,just,492.55
PD_21000364,Start,Electronics,option,298.99
PD_21000365,A,Fitness,during,99.47
PD_21000366,Every,Home Appliance,particularly,123.83
PD_21000367,Spring,Electronics,image,169.6
PD_21000368,Act,Books,base,350.85
PD_21000369,Certain,Electronics,draw,220.49
PD_21000370,Doctor,Books,tend,301.79
PD_21000371,Debate,Fitness,guy,386.59
PD_21000372,If,Books,view,132.86
PD_21000373,Time,Books,break,97.42
PD_21000374,Amount,Home Appliance,draw,295.85
PD_21000375,Environment,Fitness,enough,80.87
PD_21000376,Case,Books,citizen,196.4
PD_21000377,Process,Fashion,turn,439.12
PD_21000378,Say,Home Appliance,good,466.19
PD_21000379,Explain,Books,while,399.19
PD_21000380,Low,Fashion,American,468.07
PD_21000381,Community,Books,coach,449.03
PD_21000382,Wife,Electronics,until,363.66
PD_21000383,Test,Books,reality,471.87
PD_21000384,Rock,Books,it,348.1
PD_21000385,Coach,Home Appliance,modern,37.65
PD_21000386,Personal,Electronics,reality,136.41
PD_21000387,Support,Home Appliance,particular,126.63
PD_21000388,As,Books,career,237.83
PD_21000389,Director,Fitness,spend,190.09
PD_21000390,Everyone,Fitness,kitchen,389.84
PD_21000391,Goal,Fitness,city,134.73
PD_21000392,Color,Fashion,owner,129.24
PD_21000393,Moment,Fashion,smile,203.88
PD_21000394,Plan,Electronics,dog,293.64
PD_21000395,Manage,Fitness,all,33.64
PD_21000396,Money,Fitness,first,401.91
PD_21000397,Project,Books,operation,432.86
PD_21000398,Possible,Home Appliance,ok,318.6
PD_21000399,Medical,Books,capital,227.63
PD_21000400,Week,Fashion,recently,192.12
PD_21000401,West,Electronics,suggest,60.31
PD_21000402,General,Home Appliance,medical,245.42
PD_21000403,Decade,Home Appliance,now,242.77
PD_21000404,The,Books,small,115.51
PD_21000405,Grow,Home Appliance,exactly,420.73
PD_21000406,Always,Fashion,almost,44.2
PD_21000407,Experience,Fashion,east,234.76
PD_21000408,Wait,Home Appliance,woman,471.58
PD_21000409,Data,Fashion,coach,238.32
PD_21000410,Message,Fashion,bring,140.59
PD_21000411,Dark,Fashion,laugh,355.21
PD_21000412,Mean,Fashion,have,428.34
PD_21000413,Do,Fitness,table,247.49
PD_21000414,Really,Fitness,feel,429.3
PD_21000415,Choice,Home Appliance,capital,154.86
PD_21000416,Experience,Fitness,policy,279.49
PD_21000417,Buy,Fashion,thank,282.48
PD_21000418,Member,Electronics,technology,266.36
PD_21000419,Activity,Home Appliance,they,333.86
PD_21000420,Next,Fashion,night,334.69
PD_21000421,Fact,Fashion,machine,91.29
PD_21000422,Off,Fashion,over,184.48
PD_21000423,Now,Fitness,question,425.19
PD_21000424,Manager,Electronics,from,276.25
PD_21000425,North,Fashion,night,74.6
PD_21000426,International,Books,top,336.75
PD_21000427,Real,Fashion,hear,298.23
PD_21000428,High,Fashion,drive,379.8
PD_21000429,Air,Fashion,wife,283.09
PD_21000430,Themselves,Electronics,meeting,310.39
PD_21000431,Style,Home Appliance,majority,77.98
PD_21000432,Doctor,Fitness,second,364.28
PD_21000433,Create,Fitness,often,201.43
PD_21000434,Series,Fashion,rise,205.61
PD_21000435,Such,Fashion,money,13.44
PD_21000436,Pretty,Fitness,student,445.18
PD_21000437,Player,Books,week,353.92
PD_21000438,Not,Home Appliance,politics,270.1
PD_21000439,Bring,Fashion,budget,178.8
PD_21000440,Style,Books,agency,443.84
PD_21000441,Military,Books,join,104.48
PD_21000442,Ago,Fashion,kind,279.49
PD_21000443,Low,Home Appliance,low,131.65
PD_21000444,Family,Books,clear,36.2
PD_21000445,Language,Home Appliance,establish,489.25
PD_21000446,Difficult,Electronics,method,221.61
PD_21000447,Teacher,Electronics,recent,243.33
PD_21000448,Pick,Books,listen,216.16
PD_21000449,Point,Fashion,enjoy,437.94
PD_21000450,Long,Fashion,describe,468.32
PD_21000451,Process,Electronics,training,101.27
PD_21000452,Hospital,Fashion,state,363.4
PD_21000453,Century,Fashion,court,358.37
PD_21000454,Executive,Fitness,enjoy,337.43
PD_21000455,Contain,Fashion,style,126.55
PD_21000456,Skin,Electronics,like,48.77
PD_21000457,Already,Books,more,59.21
PD_21000458,Stock,Electronics,low,61.22
PD_21000459,Write,Home Appliance,avoid,289.62
PD_21000460,Impact,Electronics,we,296.86
PD_21000461,Soldier,Books,let,269.13
PD_21000462,Before,Home Appliance,camera,38.37
PD_21000463,Court,Electronics,raise,345.61
PD_21000464,Week,Electronics,out,402.07
PD_21000465,Food,Fitness,risk,302.41
PD_21000466,Create,Fitness,think,150.38
PD_21000467,Start,Books,me,147.08
PD_21000468,Bit,Books,trial,271.14
PD_21000469,Not,Electronics,shoulder,190.8
PD_21000470,Son,Books,represent,257.58
PD_21000471,Notice,Fashion,record,465.59
PD_21000472,Subject,Fitness,finally,427.59
PD_21000473,Key,Electronics,car,343.2
PD_21000474,World,Electronics,entire,436.1
PD_21000475,Person,Home Appliance,reveal,11.26
PD_21000476,Talk,Home Appliance,hundred,112.36
PD_21000477,Result,Electronics,set,450.59
PD_21000478,Then,Books,since,304.16
PD_21000479,Agree,Fashion,product,233.84
PD_21000480,Garden,Fashion,a,332.54
PD_21000481,Choice,Home Appliance,all,118.28
PD_21000482,Experience,Fashion,cover,420.42
PD_21000483,Fish,Electronics,force,273.54
PD_21000484,Bad,Fashion,citizen,268.64
PD_21000485,Score,Electronics,power,417.29
PD_21000486,Them,Home Appliance,nothing,389.34
PD_21000487,Buy,Fitness,hand,267.39
PD_21000488,Key,Home Appliance,control,444.2
PD_21000489,Avoid,Fitness,present,177.05
PD_21000490,Option,Fashion,why,123.88
PD_21000491,Beautiful,Books,budget,216.77
PD_21000492,Relate,Fitness,win,319.03
PD_21000493,Between,Fitness,season,19.37
PD_21000494,Ready,Electronics,skin,319.52
PD_21000495,Appear,Fitness,open,112.46
PD_21000496,Set,Books,laugh,233.95
PD_21000497,Decision,Electronics,myself,137.05
PD_21000498,Trial,Home Appliance,myself,186.49
PD_21000499,There,Home Appliance,federal,250.09
PD_21000500,Majority,Books,television,481.39
PD_21000501,Local,Home Appliance,thousand,499.91
PD_21000502,Computer,Fashion,mean,70.87
PD_21000503,North,Fitness,though,264.22
PD_21000504,Rock,Fitness,left,449.26
PD_21000505,Risk,Electronics,painting,448.43
PD_21000506,Their,Books,able,189.65
PD_21000507,Process,Fitness,never,101.9
PD_21000508,Often,Home Appliance,have,358.16
PD_21000509,Position,Fashion,ground,223.93
PD_21000510,It,Books,offer,31.14
PD_21000511,Buy,Books,site,434.84
PD_21000512,Quite,Books,protect,75.93
PD_21000513,Us,Books,painting,302.62
PD_21000514,Personal,Books,study,314.41
PD_21000515,Majority,Fitness,interest,479.83
PD_21000516,Become,Fashion,back,91.38
PD_21000517,Table,Fashion,field,375.97
PD_21000518,Run,Fashion,citizen,371.35
PD_21000519,Foreign,Electronics,performance,141.49
PD_21000520,Turn,Electronics,performance,332.42
PD_21000521,Itself,Fashion,per,159.51
PD_21000522,Watch,Fitness,week,396.01
PD_21000523,Glass,Books,treatment,403.18
PD_21000524,Condition,Fitness,return,212.81
PD_21000525,College,Home Appliance,whose,492.87
PD_21000526,Address,Electronics,audience,488.82
PD_21000527,Country,Books,decide,466.12
PD_21000528,Nearly,Fashion,civil,153.61
PD_21000529,Benefit,Home Appliance,cup,157.24
PD_21000530,Whose,Home Appliance,tax,120.91
PD_21000531,Military,Home Appliance,describe,209.82
PD_21000532,Cup,Electronics,buy,412.58
PD_21000533,Threat,Electronics,issue,143.99
PD_21000534,Clear,Electronics,people,463.52
PD_21000535,Can,Electronics,would,88.46
PD_21000536,My,Home Appliance,operation,178.85
PD_21000537,Its,Fashion,him,359.39
PD_21000538,Relationship,Electronics,light,176.03
PD_21000539,Site,Electronics,relate,436.4
PD_21000540,Fish,Fitness,wait,344.62
PD_21000541,Thank,Electronics,some,12.41
PD_21000542,Home,Books,consider,139.91
PD_21000543,Grow,Electronics,who,395.81
PD_21000544,Nothing,Books,travel,413.73
PD_21000545,Side,Fashion,treatment,314.97
PD_21000546,Foreign,Books,test,270.08
PD_21000547,Past,Fashion,material,323.7
PD_21000548,Material,Books,sure,411.18
PD_21000549,Modern,Fashion,young,191.7
PD_21000550,Thousand,Electronics,let,406.61
PD_21000551,Cell,Fitness,final,88.99
PD_21000552,Before,Home Appliance,chance,258.96
PD_21000553,Consider,Fashion,you,266.03
PD_21000554,Throughout,Electronics,reality,48.44
PD_21000555,Project,Fashion,sure,345.99
PD_21000556,Specific,Fitness,show,187.14
PD_21000557,Support,Home Appliance,community,257.97
PD_21000558,Lead,Fashion,hundred,318.35
PD_21000559,Under,Books,prepare,376.2
PD_21000560,President,Fashion,everything,363.95
PD_21000561,Walk,Fashion,spring,215.82
PD_21000562,Window,Home Appliance,film,490.31
PD_21000563,Agency,Electronics,kitchen,209.75
PD_21000564,About,Books,feeling,127.42
PD_21000565,Popular,Fitness,seat,33.35
PD_21000566,Across,Home Appliance,like,300.45
PD_21000567,Across,Home Appliance,explain,486.51
PD_21000568,Bring,Electronics,marriage,377.29
PD_21000569,Lot,Home Appliance,grow,442.17
PD_21000570,Treatment,Fashion,answer,33.79
PD_21000571,Thousand,Home Appliance,visit,377.6
PD_21000572,Eye,Home Appliance,current,338.07
PD_21000573,Central,Electronics,seek,85.3
PD_21000574,Such,Fitness,model,396.14
PD_21000575,Say,Fitness,Congress,57.64
PD_21000576,Major,Fitness,culture,320.24
PD_21000577,To,Fitness,worker,292.97
PD_21000578,Opportunity,Fashion,until,389.56
PD_21000579,Generation,Electronics,set,104.07
PD_21000580,Trade,Electronics,analysis,464.61
PD_21000581,Sister,Fitness,main,158.92
PD_21000582,Data,Home Appliance,old,489.05
PD_21000583,Rise,Books,stay,328.7
PD_21000584,State,Electronics,individual,337.87
PD_21000585,Fast,Books,play,270.15
PD_21000586,Project,Home Appliance,want,352.79
PD_21000587,Success,Home Appliance,position,473.58
PD_21000588,Which,Electronics,later,431.75
PD_21000589,Red,Fitness,issue,371.6
PD_21000590,Education,Fashion,so,423.07
PD_21000591,Marriage,Fitness,religious,49.06
PD_21000592,With,Fashion,network,447.7
PD_21000593,Green,Books,poor,240.57
PD_21000594,Movement,Books,remember,219.22
PD_21000595,Writer,Electronics,well,209.32
PD_21000596,Floor,Fashion,control,196.15
PD_21000597,Statement,Fashion,thus,306.56
PD_21000598,Present,Home Appliance,carry,309.42
PD_21000599,Ok,Fitness,provide,298.89
PD_21000600,Available,Fashion,purpose,447.88
PD_21000601,Research,Electronics,federal,98.56
PD_21000602,Person,Electronics,military,468.8
PD_21000603,Test,Fashion,buy,344.78
PD_21000604,Account,Home Appliance,stand,327.39
PD_21000605,Church,Electronics,perform,68.47
PD_21000606,Car,Books,enough,226.03
PD_21000607,Different,Books,after,266.57
PD_21000608,That,Fitness,star,279.74
PD_21000609,History,Books,much,221.69
PD_21000610,Resource,Fitness,career,65.38
PD_21000611,Season,Home Appliance,among,260.67
PD_21000612,Ready,Electronics,card,247.64
PD_21000613,Still,Home Appliance,skill,81.81
PD_21000614,Without,Electronics,big,114.92
PD_21000615,Boy,Electronics,measure,476.61
PD_21000616,Social,Fitness,film,289.92
PD_21000617,Recent,Electronics,have,336.21
PD_21000618,Practice,Fitness,travel,320.0
PD_21000619,Option,Electronics,far,364.74
PD_21000620,Glass,Electronics,west,180.58
PD_21000621,Reduce,Fitness,writer,407.59
PD_21000622,Whether,Books,affect,10.17
PD_21000623,Beyond,Fashion,anything,442.75
PD_21000624,Standard,Fashion,respond,423.26
PD_21000625,Hair,Fitness,help,193.68
PD_21000626,Cup,Fashion,deal,261.06
PD_21000627,Yeah,Electronics,thing,127.03
PD_21000628,Meeting,Fitness,lot,272.65
