SD_ID,C_ID,Plan_ID,From_Date,To_Date
SPD_201000029,CS_11007379,Pln_51000001,2024-11-15,2025-01-23
SPD_201000030,CS_11008987,Pln_51000003,2023-03-07,2024-12-30
SPD_201000031,CS_11003649,Pln_51000002,2024-01-09,2024-01-05
SPD_201000032,CS_11005776,Pln_51000002,2023-04-14,2024-09-22
SPD_201000033,CS_11008976,Pln_51000003,2023-04-17,2025-08-16
SPD_201000034,CS_11005174,Pln_51000003,2024-01-28,2024-04-21
SPD_201000035,CS_11000558,Pln_51000003,2023-09-13,2025-11-23
SPD_201000036,CS_11004246,Pln_51000003,2023-06-17,2024-02-26
SPD_201000037,CS_11009882,Pln_51000001,2023-06-16,2025-11-21
SPD_201000038,CS_11004510,Pln_51000002,2024-04-24,2024-11-22
SPD_201000039,CS_11005566,Pln_51000002,2024-03-10,2025-02-24
SPD_201000040,CS_11000220,Pln_51000002,2023-09-06,2024-04-12
SPD_201000041,CS_11009711,Pln_51000001,2024-10-10,2024-12-07
SPD_201000042,CS_11007764,Pln_51000003,2023-09-28,2024-10-16
SPD_201000043,CS_11003776,Pln_51000002,2024-04-15,2024-03-30
SPD_201000044,CS_11003103,Pln_51000002,2023-10-19,2025-06-21
SPD_201000045,CS_11009639,Pln_51000003,2023-02-23,2024-10-27
SPD_201000046,CS_11008915,Pln_51000001,2024-11-15,2025-11-09
SPD_201000047,CS_11001745,Pln_51000002,2024-03-18,2025-12-30
SPD_201000048,CS_11008095,Pln_51000002,2023-11-26,2025-05-12
SPD_201000049,CS_11000591,Pln_51000002,2024-06-30,2024-06-10
SPD_201000050,CS_11004093,Pln_51000002,2024-10-24,2025-08-05
SPD_201000051,CS_11007430,Pln_51000003,2023-10-10,2025-06-05
SPD_201000052,CS_11001273,Pln_51000002,2024-07-19,2024-08-29
SPD_201000053,CS_11006447,Pln_51000001,2024-01-09,2025-08-05
SPD_201000054,CS_11006622,Pln_51000003,2023-06-11,2024-06-14
SPD_201000055,CS_11005568,Pln_51000002,2024-11-26,2025-06-13
SPD_201000056,CS_11005753,Pln_51000001,2024-06-18,2024-10-27
SPD_201000057,CS_11005780,Pln_51000002,2024-01-23,2025-06-06
SPD_201000058,CS_11008437,Pln_51000002,2023-04-22,2024-08-20
SPD_201000059,CS_11007093,Pln_51000003,2023-01-13,2024-11-22
SPD_201000060,CS_11004950,Pln_51000003,2024-02-06,2025-08-10
SPD_201000061,CS_11005822,Pln_51000003,2024-12-19,2025-07-27
SPD_201000062,CS_11007210,Pln_51000002,2023-05-25,2025-01-12
SPD_201000063,CS_11001219,Pln_51000002,2023-11-07,2024-08-07
SPD_201000064,CS_11000778,Pln_51000002,2024-09-15,2024-01-18
SPD_201000065,CS_11007431,Pln_51000002,2023-09-25,2025-06-24
SPD_201000066,CS_11009198,Pln_51000002,2024-01-16,2025-07-04
SPD_201000067,CS_11001510,Pln_51000003,2023-06-07,2025-10-10
SPD_201000068,CS_11000558,Pln_51000001,2024-07-14,2024-06-13
SPD_201000069,CS_11001270,Pln_51000001,2024-06-10,2025-07-04
SPD_201000070,CS_11008687,Pln_51000001,2024-12-16,2025-02-22
SPD_201000071,CS_11005884,Pln_51000002,2024-09-22,2024-05-12
SPD_201000072,CS_11001012,Pln_51000001,2023-01-26,2024-10-12
SPD_201000073,CS_11000080,Pln_51000001,2024-09-19,2024-04-06
SPD_201000074,CS_11000766,Pln_51000001,2024-07-12,2024-04-07
SPD_201000075,CS_11004271,Pln_51000003,2024-02-04,2025-02-04
SPD_201000076,CS_11008284,Pln_51000002,2024-12-26,2024-02-09
SPD_201000077,CS_11003086,Pln_51000002,2023-02-26,2024-06-10
SPD_201000078,CS_11008351,Pln_51000003,2024-08-15,2025-01-02
SPD_201000079,CS_11001458,Pln_51000002,2023-02-11,2024-10-08
SPD_201000080,CS_11009881,Pln_51000002,2024-04-20,2025-10-06
SPD_201000081,CS_11001845,Pln_51000003,2023-06-12,2025-09-15
SPD_201000082,CS_11009710,Pln_51000001,2023-08-19,2024-02-19
SPD_201000083,CS_11004454,Pln_51000002,2024-06-14,2025-05-17
SPD_201000084,CS_11002174,Pln_51000002,2024-04-21,2024-10-27
SPD_201000085,CS_11006455,Pln_51000003,2023-04-30,2024-06-04
SPD_201000086,CS_11008838,Pln_51000003,2023-05-13,2024-06-19
SPD_201000087,CS_11000657,Pln_51000001,2023-12-05,2024-07-20
SPD_201000088,CS_11002032,Pln_51000003,2024-06-15,2025-02-24
SPD_201000089,CS_11004217,Pln_51000003,2023-10-17,2025-08-11
SPD_201000090,CS_11005770,Pln_51000002,2024-08-10,2024-12-31
SPD_201000091,CS_11009634,Pln_51000002,2024-11-10,2024-04-02
SPD_201000092,CS_11007699,Pln_51000002,2024-09-25,2024-12-28
SPD_201000093,CS_11001275,Pln_51000002,2023-06-14,2025-09-01
SPD_201000094,CS_11004765,Pln_51000003,2023-10-04,2025-10-29
SPD_201000095,CS_11004169,Pln_51000001,2024-02-02,2025-05-31
SPD_201000096,CS_11006357,Pln_51000001,2024-12-14,2024-09-30
SPD_201000097,CS_11008440,Pln_51000003,2023-01-02,2024-07-09
SPD_201000098,CS_11002896,Pln_51000002,2024-07-07,2024-06-05
SPD_201000099,CS_11002197,Pln_51000002,2024-12-25,2025-01-05
SPD_201000100,CS_11008796,Pln_51000002,2023-06-04,2025-02-27
SPD_201000101,CS_11001463,Pln_51000002,2024-01-28,2025-12-03
SPD_201000102,CS_11003274,Pln_51000003,2024-02-29,2024-07-26
SPD_201000103,CS_11006630,Pln_51000002,2024-07-05,2025-09-21
SPD_201000104,CS_11001269,Pln_51000003,2024-11-17,2025-12-17
SPD_201000105,CS_11008387,Pln_51000001,2024-03-01,2024-06-29
SPD_201000106,CS_11004339,Pln_51000001,2023-07-01,2025-01-12
SPD_201000107,CS_11008439,Pln_51000003,2023-12-19,2025-04-29
SPD_201000108,CS_11002549,Pln_51000003,2023-11-19,2025-04-26
SPD_201000109,CS_11005225,Pln_51000003,2024-11-09,2024-12-03
SPD_201000110,CS_11005316,Pln_51000001,2024-04-24,2024-10-28
SPD_201000111,CS_11002872,Pln_51000001,2023-08-25,2024-01-15
SPD_201000112,CS_11006221,Pln_51000003,2024-07-19,2024-05-31
SPD_201000113,CS_11008433,Pln_51000001,2023-07-21,2024-04-23
SPD_201000114,CS_11007223,Pln_51000003,2024-03-17,2024-06-09
SPD_201000115,CS_11002668,Pln_51000001,2024-11-23,2025-11-26
SPD_201000116,CS_11000469,Pln_51000001,2023-02-20,2024-02-16
SPD_201000117,CS_11001566,Pln_51000003,2023-08-25,2025-09-12
SPD_201000118,CS_11003792,Pln_51000003,2023-09-10,2024-01-04
SPD_201000119,CS_11006534,Pln_51000002,2023-03-28,2025-05-13
SPD_201000120,CS_11008137,Pln_51000003,2023-07-20,2024-06-12
SPD_201000121,CS_11006926,Pln_51000001,2024-03-03,2025-12-11
SPD_201000122,CS_11000654,Pln_51000002,2024-01-12,2024-10-27
SPD_201000123,CS_11008747,Pln_51000002,2024-01-17,2025-06-26
SPD_201000124,CS_11002882,Pln_51000002,2024-08-06,2025-06-14
SPD_201000125,CS_11001602,Pln_51000001,2024-07-19,2024-08-22
SPD_201000126,CS_11009113,Pln_51000002,2024-09-08,2024-06-14
SPD_201000127,CS_11007184,Pln_51000001,2024-04-12,2025-05-04
SPD_201000128,CS_11005424,Pln_51000002,2023-09-14,2024-05-04
SPD_201000129,CS_11008490,Pln_51000002,2023-08-06,2025-08-18
SPD_201000130,CS_11004694,Pln_51000001,2023-03-20,2024-02-23
SPD_201000131,CS_11007073,Pln_51000003,2024-12-18,2025-10-24
SPD_201000132,CS_11009562,Pln_51000002,2024-10-15,2024-12-14
SPD_201000133,CS_11006893,Pln_51000002,2023-04-17,2024-10-20
SPD_201000134,CS_11009018,Pln_51000001,2023-09-15,2025-07-06
SPD_201000135,CS_11009508,Pln_51000001,2023-06-28,2025-03-15
SPD_201000136,CS_11009108,Pln_51000003,2023-07-29,2024-10-28
SPD_201000137,CS_11008973,Pln_51000002,2024-10-02,2025-08-05
SPD_201000138,CS_11008222,Pln_51000003,2024-10-14,2024-09-02
SPD_201000139,CS_11005602,Pln_51000001,2023-06-08,2024-08-13
SPD_201000140,CS_11000881,Pln_51000003,2024-10-06,2025-01-25
SPD_201000141,CS_11008687,Pln_51000002,2024-07-18,2025-05-15
SPD_201000142,CS_11006207,Pln_51000001,2024-04-04,2025-11-14
SPD_201000143,CS_11008985,Pln_51000001,2024-03-19,2025-08-05
SPD_201000144,CS_11006160,Pln_51000001,2024-10-05,2024-11-29
SPD_201000145,CS_11003547,Pln_51000001,2023-08-05,2025-08-27
SPD_201000146,CS_11008796,Pln_51000001,2023-02-12,2024-09-13
SPD_201000147,CS_11001944,Pln_51000001,2023-01-16,2024-03-14
SPD_201000148,CS_11007300,Pln_51000001,2024-07-24,2025-06-28
SPD_201000149,CS_11001310,Pln_51000002,2023-02-08,2024-09-18
SPD_201000150,CS_11001049,Pln_51000003,2023-10-10,2024-01-25
SPD_201000151,CS_11003701,Pln_51000002,2023-07-27,2025-10-24
SPD_201000152,CS_11001234,Pln_51000003,2024-03-15,2024-07-07
SPD_201000153,CS_11000174,Pln_51000002,2024-10-09,2024-10-09
SPD_201000154,CS_11007827,Pln_51000001,2023-01-26,2024-11-23
SPD_201000155,CS_11003543,Pln_51000002,2023-06-12,2024-10-02
SPD_201000156,CS_11006511,Pln_51000001,2024-09-29,2025-09-01
SPD_201000157,CS_11006380,Pln_51000002,2023-05-31,2024-01-18
SPD_201000158,CS_11001582,Pln_51000003,2023-01-03,2024-01-18
SPD_201000159,CS_11001669,Pln_51000001,2023-03-05,2025-03-19
SPD_201000160,CS_11008717,Pln_51000002,2023-12-07,2024-08-04
SPD_201000161,CS_11009929,Pln_51000002,2023-03-07,2024-02-26
SPD_201000162,CS_11003840,Pln_51000001,2023-12-14,2025-02-11
SPD_201000163,CS_11004022,Pln_51000001,2024-04-13,2024-05-19
SPD_201000164,CS_11000207,Pln_51000001,2023-11-03,2025-11-15
SPD_201000165,CS_11004788,Pln_51000003,2024-03-10,2024-04-19
SPD_201000166,CS_11000361,Pln_51000003,2024-07-07,2024-03-27
SPD_201000167,CS_11005064,Pln_51000001,2023-11-27,2025-02-11
SPD_201000168,CS_11008272,Pln_51000002,2024-06-09,2025-11-23
SPD_201000169,CS_11008873,Pln_51000001,2024-08-21,2025-06-17
SPD_201000170,CS_11007860,Pln_51000002,2024-05-08,2025-01-07
SPD_201000171,CS_11002449,Pln_51000002,2023-01-18,2025-04-29
SPD_201000172,CS_11007885,Pln_51000003,2023-06-07,2025-02-12
SPD_201000173,CS_11007113,Pln_51000001,2023-05-22,2025-06-08
SPD_201000174,CS_11009253,Pln_51000003,2023-05-08,2024-12-19
SPD_201000175,CS_11004685,Pln_51000001,2024-11-11,2025-07-31
SPD_201000176,CS_11009330,Pln_51000003,2023-04-03,2024-12-24
SPD_201000177,CS_11002112,Pln_51000001,2024-06-01,2024-12-05
SPD_201000178,CS_11007613,Pln_51000001,2023-11-04,2025-09-15
SPD_201000179,CS_11007016,Pln_51000002,2023-03-23,2025-08-23
SPD_201000180,CS_11005953,Pln_51000003,2023-06-26,2024-12-20
SPD_201000181,CS_11008433,Pln_51000001,2023-01-22,2024-03-05
SPD_201000182,CS_11006226,Pln_51000002,2023-11-15,2024-09-16
SPD_201000183,CS_11009831,Pln_51000001,2023-05-09,2024-09-28
SPD_201000184,CS_11001891,Pln_51000001,2023-03-02,2025-09-26
SPD_201000185,CS_11000165,Pln_51000002,2024-02-13,2025-05-17
SPD_201000186,CS_11007196,Pln_51000003,2024-12-03,2025-05-03
SPD_201000187,CS_11007093,Pln_51000003,2024-09-02,2024-06-28
SPD_201000188,CS_11006363,Pln_51000002,2023-09-16,2024-01-08
SPD_201000189,CS_11007772,Pln_51000003,2023-11-01,2025-06-19
SPD_201000190,CS_11003428,Pln_51000001,2023-01-05,2024-08-22
SPD_201000191,CS_11003671,Pln_51000002,2023-09-06,2024-11-28
SPD_201000192,CS_11001790,Pln_51000001,2023-12-03,2025-04-30
SPD_201000193,CS_11006362,Pln_51000003,2023-09-09,2025-07-27
SPD_201000194,CS_11000382,Pln_51000002,2024-01-15,2024-08-05
SPD_201000195,CS_11007515,Pln_51000003,2024-04-24,2025-08-19
SPD_201000196,CS_11006021,Pln_51000002,2024-12-23,2025-05-15
SPD_201000197,CS_11003683,Pln_51000001,2024-01-11,2024-12-31
SPD_201000198,CS_11007437,Pln_51000002,2024-06-19,2024-12-29
SPD_201000199,CS_11002779,Pln_51000002,2023-02-25,2024-09-11
SPD_201000200,CS_11000896,Pln_51000001,2024-09-03,2025-06-29
SPD_201000201,CS_11002234,Pln_51000003,2023-04-26,2025-08-12
SPD_201000202,CS_11002004,Pln_51000002,2024-04-24,2025-09-18
SPD_201000203,CS_11009545,Pln_51000002,2024-01-07,2024-05-23
SPD_201000204,CS_11003780,Pln_51000001,2024-08-13,2025-01-15
SPD_201000205,CS_11006456,Pln_51000003,2023-12-25,2024-10-30
SPD_201000206,CS_11002679,Pln_51000002,2024-04-25,2025-07-27
SPD_201000207,CS_11009662,Pln_51000003,2024-04-18,2025-11-05
SPD_201000208,CS_11008446,Pln_51000003,2024-11-17,2024-05-27
SPD_201000209,CS_11006642,Pln_51000003,2024-10-31,2024-01-06
SPD_201000210,CS_11008615,Pln_51000002,2023-11-08,2025-12-01
SPD_201000211,CS_11009147,Pln_51000003,2024-06-28,2025-12-04
SPD_201000212,CS_11004969,Pln_51000003,2024-05-06,2024-05-05
SPD_201000213,CS_11004008,Pln_51000003,2023-10-29,2025-08-16
SPD_201000214,CS_11007602,Pln_51000001,2023-09-26,2024-01-12
SPD_201000215,CS_11008418,Pln_51000003,2023-12-21,2024-09-19
SPD_201000216,CS_11004341,Pln_51000002,2024-01-20,2025-03-04
SPD_201000217,CS_11009728,Pln_51000001,2023-12-26,2025-04-24
SPD_201000218,CS_11005425,Pln_51000002,2024-10-31,2025-02-16
SPD_201000219,CS_11007411,Pln_51000002,2024-10-15,2025-02-07
SPD_201000220,CS_11007860,Pln_51000003,2024-06-22,2025-03-10
SPD_201000221,CS_11009194,Pln_51000001,2024-05-13,2025-04-28
SPD_201000222,CS_11001447,Pln_51000001,2023-06-10,2024-02-28
SPD_201000223,CS_11000975,Pln_51000002,2024-12-30,2025-01-29
SPD_201000224,CS_11001866,Pln_51000001,2023-12-17,2024-01-11
SPD_201000225,CS_11001063,Pln_51000001,2023-10-26,2024-10-17
SPD_201000226,CS_11002588,Pln_51000003,2024-10-25,2025-05-07
SPD_201000227,CS_11008648,Pln_51000001,2024-10-03,2025-05-26
SPD_201000228,CS_11007960,Pln_51000002,2024-05-01,2025-09-23
SPD_201000229,CS_11006511,Pln_51000002,2024-08-12,2025-01-14
SPD_201000230,CS_11006109,Pln_51000001,2023-03-15,2025-07-18
SPD_201000231,CS_11001187,Pln_51000002,2023-06-21,2024-10-30
SPD_201000232,CS_11003836,Pln_51000001,2023-08-28,2024-07-08
SPD_201000233,CS_11008623,Pln_51000003,2024-07-11,2025-05-19
SPD_201000234,CS_11003519,Pln_51000003,2023-07-12,2024-08-22
SPD_201000235,CS_11006894,Pln_51000001,2024-03-16,2025-05-20
SPD_201000236,CS_11003681,Pln_51000002,2023-12-03,2025-04-29
SPD_201000237,CS_11003209,Pln_51000001,2024-06-09,2024-01-25
SPD_201000238,CS_11004323,Pln_51000003,2024-12-18,2024-11-12
SPD_201000239,CS_11002347,Pln_51000001,2023-05-04,2025-11-24
SPD_201000240,CS_11005126,Pln_51000003,2023-04-15,2024-12-22
SPD_201000241,CS_11009122,Pln_51000001,2023-07-30,2024-10-25
SPD_201000242,CS_11007710,Pln_51000003,2024-02-28,2025-01-28
SPD_201000243,CS_11008925,Pln_51000002,2024-04-09,2025-06-14
SPD_201000244,CS_11000764,Pln_51000002,2023-02-17,2025-10-12
SPD_201000245,CS_11005890,Pln_51000001,2024-01-25,2024-08-26
SPD_201000246,CS_11002586,Pln_51000001,2023-05-23,2025-03-26
SPD_201000247,CS_11004731,Pln_51000002,2023-03-21,2025-06-23
SPD_201000248,CS_11004753,Pln_51000003,2023-10-06,2025-07-09
SPD_201000249,CS_11004286,Pln_51000002,2024-07-28,2025-08-30
SPD_201000250,CS_11002509,Pln_51000002,2024-06-26,2024-01-08
SPD_201000251,CS_11001242,Pln_51000003,2024-12-14,2024-10-17
SPD_201000252,CS_11006405,Pln_51000001,2024-08-01,2024-05-01
SPD_201000253,CS_11004868,Pln_51000001,2023-07-05,2024-09-18
SPD_201000254,CS_11003477,Pln_51000003,2024-11-01,2024-09-22
SPD_201000255,CS_11003469,Pln_51000001,2023-06-14,2024-03-17
SPD_201000256,CS_11001655,Pln_51000002,2023-01-01,2024-07-11
SPD_201000257,CS_11003814,Pln_51000003,2023-09-20,2025-03-06
SPD_201000258,CS_11001533,Pln_51000003,2024-05-27,2025-04-04
SPD_201000259,CS_11008193,Pln_51000001,2024-03-21,2024-02-13
SPD_201000260,CS_11002351,Pln_51000002,2024-06-28,2025-05-30
SPD_201000261,CS_11008266,Pln_51000003,2024-02-13,2025-11-21
SPD_201000262,CS_11007482,Pln_51000001,2023-11-03,2025-10-16
SPD_201000263,CS_11003055,Pln_51000001,2023-05-15,2025-05-03
SPD_201000264,CS_11004229,Pln_51000001,2024-02-25,2025-08-26
SPD_201000265,CS_11006850,Pln_51000002,2024-07-15,2025-12-11
SPD_201000266,CS_11000995,Pln_51000002,2024-03-15,2024-07-08
SPD_201000267,CS_11004758,Pln_51000001,2023-09-05,2025-11-06
SPD_201000268,CS_11004713,Pln_51000001,2023-07-17,2025-01-07
SPD_201000269,CS_11008754,Pln_51000002,2023-01-06,2025-10-10
SPD_201000270,CS_11009902,Pln_51000001,2024-08-11,2025-07-05
SPD_201000271,CS_11007510,Pln_51000003,2023-07-26,2025-06-04
SPD_201000272,CS_11009814,Pln_51000003,2023-07-17,2024-03-29
SPD_201000273,CS_11003544,Pln_51000003,2024-12-06,2024-01-23
SPD_201000274,CS_11003603,Pln_51000002,2023-01-02,2024-06-24
SPD_201000275,CS_11002298,Pln_51000002,2023-09-14,2025-04-13
SPD_201000276,CS_11000966,Pln_51000002,2024-11-06,2024-03-24
SPD_201000277,CS_11009492,Pln_51000001,2024-05-29,2024-11-28
SPD_201000278,CS_11004646,Pln_51000001,2023-03-04,2024-08-12
SPD_201000279,CS_11004624,Pln_51000003,2023-03-10,2025-12-22
SPD_201000280,CS_11005414,Pln_51000003,2024-11-19,2025-01-20
SPD_201000281,CS_11008182,Pln_51000003,2023-02-26,2024-08-08
SPD_201000282,CS_11003114,Pln_51000001,2023-02-03,2025-03-25
SPD_201000283,CS_11003141,Pln_51000001,2024-10-27,2025-09-07
SPD_201000284,CS_11004667,Pln_51000001,2023-03-07,2025-10-08
SPD_201000285,CS_11004517,Pln_51000002,2024-03-05,2024-11-24
SPD_201000286,CS_11006693,Pln_51000003,2024-10-25,2025-05-04
SPD_201000287,CS_11002066,Pln_51000003,2024-08-14,2025-09-13
SPD_201000288,CS_11002728,Pln_51000003,2024-06-12,2025-10-17
SPD_201000289,CS_11002816,Pln_51000001,2024-03-21,2024-10-21
SPD_201000290,CS_11001387,Pln_51000003,2023-09-30,2025-10-25
SPD_201000291,CS_11001465,Pln_51000003,2023-02-05,2025-07-13
SPD_201000292,CS_11008376,Pln_51000001,2023-02-15,2025-11-07
SPD_201000293,CS_11005345,Pln_51000002,2024-01-14,2025-12-29
SPD_201000294,CS_11006128,Pln_51000003,2023-01-24,2025-07-03
SPD_201000295,CS_11008820,Pln_51000001,2023-03-09,2025-07-09
SPD_201000296,CS_11001955,Pln_51000003,2023-01-02,2025-04-17
SPD_201000297,CS_11009594,Pln_51000003,2023-12-06,2024-09-01
SPD_201000298,CS_11002608,Pln_51000003,2024-10-14,2025-07-25
SPD_201000299,CS_11005450,Pln_51000002,2024-02-07,2025-03-28
SPD_201000300,CS_11004306,Pln_51000002,2023-11-20,2024-08-06
SPD_201000301,CS_11002932,Pln_51000002,2024-02-06,2024-02-27
SPD_201000302,CS_11001615,Pln_51000003,2023-03-18,2024-12-13
SPD_201000303,CS_11008916,Pln_51000001,2024-08-02,2025-02-09
SPD_201000304,CS_11007275,Pln_51000002,2024-10-23,2025-05-17
SPD_201000305,CS_11000474,Pln_51000002,2023-04-09,2025-08-17
SPD_201000306,CS_11009992,Pln_51000001,2023-03-03,2025-12-26
SPD_201000307,CS_11007577,Pln_51000001,2023-05-28,2024-10-21
SPD_201000308,CS_11000975,Pln_51000002,2024-09-17,2025-09-22
SPD_201000309,CS_11000355,Pln_51000002,2023-03-11,2025-01-26
SPD_201000310,CS_11000724,Pln_51000001,2023-02-02,2024-05-12
SPD_201000311,CS_11005635,Pln_51000003,2024-11-08,2024-03-29
SPD_201000312,CS_11004132,Pln_51000002,2023-07-27,2024-11-12
SPD_201000313,CS_11009628,Pln_51000002,2024-01-07,2024-03-31
SPD_201000314,CS_11007508,Pln_51000003,2023-05-05,2024-09-08
SPD_201000315,CS_11005354,Pln_51000003,2024-05-12,2025-03-21
SPD_201000316,CS_11004852,Pln_51000003,2024-05-15,2024-08-29
SPD_201000317,CS_11008081,Pln_51000001,2024-02-04,2024-06-15
SPD_201000318,CS_11002188,Pln_51000002,2024-10-03,2024-08-21
SPD_201000319,CS_11006161,Pln_51000002,2023-12-31,2024-05-31
SPD_201000320,CS_11000341,Pln_51000002,2024-05-29,2024-05-11
SPD_201000321,CS_11000104,Pln_51000003,2024-05-30,2024-10-09
SPD_201000322,CS_11006102,Pln_51000001,2023-11-29,2024-10-29
SPD_201000323,CS_11006838,Pln_51000001,2023-02-24,2025-07-14
SPD_201000324,CS_11004313,Pln_51000003,2024-09-09,2025-07-03
SPD_201000325,CS_11001780,Pln_51000001,2024-06-09,2025-09-09
SPD_201000326,CS_11007283,Pln_51000001,2023-08-31,2025-02-14
SPD_201000327,CS_11002295,Pln_51000003,2024-12-29,2025-11-28
SPD_201000328,CS_11001919,Pln_51000002,2024-06-22,2024-10-28
SPD_201000329,CS_11000749,Pln_51000003,2024-11-17,2025-02-02
SPD_201000330,CS_11005079,Pln_51000003,2023-12-27,2024-02-21
SPD_201000331,CS_11002745,Pln_51000001,2024-06-14,2024-01-20
SPD_201000332,CS_11005457,Pln_51000003,2023-08-22,2025-02-08
SPD_201000333,CS_11006065,Pln_51000002,2024-03-27,2024-05-30
SPD_201000334,CS_11003621,Pln_51000001,2023-12-02,2024-09-25
SPD_201000335,CS_11000234,Pln_51000001,2024-03-12,2024-08-09
SPD_201000336,CS_11004358,Pln_51000002,2023-08-01,2025-03-13
SPD_201000337,CS_11000596,Pln_51000001,2024-11-16,2025-07-02
SPD_201000338,CS_11009171,Pln_51000002,2023-07-11,2025-12-14
SPD_201000339,CS_11006976,Pln_51000003,2024-10-10,2025-02-16
SPD_201000340,CS_11000341,Pln_51000003,2023-03-04,2024-06-30
SPD_201000341,CS_11003663,Pln_51000002,2023-04-13,2024-03-19
SPD_201000342,CS_11005074,Pln_51000001,2023-07-26,2025-08-04
SPD_201000343,CS_11005911,Pln_51000001,2024-09-11,2025-06-02
SPD_201000344,CS_11002444,Pln_51000001,2023-12-04,2025-08-19
SPD_201000345,CS_11003516,Pln_51000002,2024-01-09,2024-05-29
SPD_201000346,CS_11004145,Pln_51000001,2023-12-15,2025-11-08
SPD_201000347,CS_11001775,Pln_51000002,2023-09-02,2024-02-19
SPD_201000348,CS_11001699,Pln_51000002,2023-01-30,2025-10-12
SPD_201000349,CS_11004750,Pln_51000003,2023-05-15,2025-09-19
SPD_201000350,CS_11008828,Pln_51000003,2023-04-02,2025-01-03
SPD_201000351,CS_11009632,Pln_51000002,2024-12-14,2025-11-30
SPD_201000352,CS_11001845,Pln_51000001,2024-10-25,2024-02-01
SPD_201000353,CS_11007700,Pln_51000001,2023-03-29,2025-06-16
SPD_201000354,CS_11002855,Pln_51000003,2024-11-06,2025-01-17
SPD_201000355,CS_11006300,Pln_51000001,2024-08-29,2024-07-16
SPD_201000356,CS_11003461,Pln_51000001,2023-09-19,2024-08-06
SPD_201000357,CS_11005661,Pln_51000001,2024-10-20,2024-09-09
SPD_201000358,CS_11006404,Pln_51000002,2023-03-30,2025-06-23
SPD_201000359,CS_11005636,Pln_51000003,2024-06-07,2025-11-21
SPD_201000360,CS_11004791,Pln_51000001,2023-07-23,2024-02-04
SPD_201000361,CS_11003430,Pln_51000003,2024-11-12,2024-02-26
SPD_201000362,CS_11006179,Pln_51000003,2023-09-20,2024-12-20
SPD_201000363,CS_11009659,Pln_51000003,2024-12-30,2025-02-24
SPD_201000364,CS_11006883,Pln_51000001,2024-12-27,2025-01-22
SPD_201000365,CS_11002503,Pln_51000003,2024-03-02,2025-09-23
SPD_201000366,CS_11004974,Pln_51000003,2023-03-15,2024-07-26
SPD_201000367,CS_11004365,Pln_51000002,2023-06-28,2025-03-08
SPD_201000368,CS_11009466,Pln_51000003,2024-08-14,2024-12-20
SPD_201000369,CS_11001336,Pln_51000003,2023-07-21,2024-11-22
SPD_201000370,CS_11001197,Pln_51000002,2023-06-02,2024-11-02
SPD_201000371,CS_11001955,Pln_51000003,2023-02-13,2025-03-06
SPD_201000372,CS_11000213,Pln_51000002,2023-02-14,2024-06-17
SPD_201000373,CS_11005284,Pln_51000001,2024-06-03,2024-12-25
SPD_201000374,CS_11009671,Pln_51000002,2023-06-05,2024-02-13
SPD_201000375,CS_11006071,Pln_51000001,2024-11-22,2024-04-15
SPD_201000376,CS_11008534,Pln_51000001,2024-12-15,2024-09-28
